Timestamp (s),X (m),Y (m),Yaw (rad),Velocity (m/s),Acceleration (m/s^2),Steering Angle (rad)
1759926376.6703768,18.6092217495716,-17.877857134583945,-2.568703760462873,5.10645987219084,-3.8535555636320615,-0.30467637243970996
1759926376.8960354,17.546292781366017,-18.3422687671868,-2.7299280448643373,5.351448674599516,1.0856610052372122,0.02726705313009968
1759926377.092323,16.68317741658406,-18.502755041815508,-2.920690635452692,4.721649166196333,-3.208554212116634,0.3141592562740628
1759926377.3007646,15.492847578622271,-18.658638545702466,-2.9825970109705966,4.698808636434541,-0.1095776522984443,0.17071542726413677
1759926377.5123966,14.639948983666054,-18.869815657117492,-2.9104460043338283,4.399764359589291,-1.413038945066282,0.31140418006093673
1759926377.7262056,13.708296211082315,-19.248941629349925,-2.764087131803047,4.805135284640443,1.8959487192240525,0.08550812245211402
1759926377.9381475,12.91465471258925,-19.783297199924604,-2.5810346447729353,4.657027693599158,-0.6988120370626717,0.10901982171901413
1759926378.1823566,12.101077361742767,-20.456948114833764,-2.475329015995123,4.920636852399251,1.079440575924389,-0.010904091163415562
1759926378.3975458,11.312987550637342,-21.270055714340536,-2.341098877700242,3.954974421715317,-4.487503776074014,-0.26359136162324615
1759926378.6036494,10.947694907068627,-21.707922283836215,-2.3014684486056303,3.799496630563801,-0.754367312507987,-0.061826700281504755
1759926378.8150873,10.194501618047942,-22.431815337478046,-2.3871324304475645,3.5461996420114343,-1.1979732106571643,-0.06205891865458747
1759926379.0316513,9.656643402047917,-22.865566240682572,-2.434540075460302,3.6812456291074818,0.6235848270306661,-0.08416358666605316
1759926379.251525,8.958906798766982,-23.402450716591122,-2.4772170822164545,4.324722573663475,2.9265757652038316,-0.17690262927121303
1759926379.5055647,7.924008032110773,-24.04820610694075,-2.5951357488031297,5.040197672772724,2.816390185162472,-0.06205822180804511
1759926379.7198908,6.884708078426914,-24.393178762427677,-2.821040198489032,4.840849452998284,-0.9301162085867085,-0.03148198484137038
1759926379.9311655,5.887424686555543,-24.58416769789929,-2.9209318145142587,5.348881926182649,2.404607159518227,-0.021202041145573388
1759926380.1470788,4.958765220059976,-24.76716331683542,-2.943148465278107,5.770933570853346,1.9547274437767452,-0.20929562727944173
1759926380.3664324,3.511688507998536,-25.00521534313773,-2.9909469724540387,5.066256328714168,-3.212516222640553,-0.22283561570730887
1759926380.6245055,2.2905215298221195,-24.958815666086256,3.094399736249036,4.47811848479352,-2.2789584163399335,-0.24018603663536212
1759926380.838965,1.5989443073205154,-24.755729767916417,2.907732315747495,4.349994296867804,-0.5974285875318331,-0.31416100430415983
1759926381.0590189,0.48537175781214364,-24.079141528329686,2.588980470241731,4.897721572531277,2.489059488440517,-0.09897409651857722
1759926381.2765982,-0.010572192017113773,-23.559083833004575,2.4077763721543164,4.429372316534953,-2.1525444587871583,-0.004662678059442376
1759926381.4941308,-0.8653601367889026,-22.57533481878051,2.310671434986114,4.560023471724048,0.6006048487767889,-0.023713497642750984
1759926381.7468421,-1.512666240057023,-21.86712094573875,2.3099635208404177,4.428877103416217,-0.5189572858093143,-0.06187133370611304
1759926381.9762855,-2.2014756722960485,-21.07773892054726,2.289410702995811,3.86482022906341,-2.458371395509428,-0.2565453504840838
1759926382.2045877,-2.699862013268616,-20.43800112631852,2.238128708191109,3.893523037526665,0.12572285062346877,-0.10287611926087152
1759926382.4444902,-3.1056676304576847,-19.499201605728825,1.9892042592977734,3.42500170595027,-1.9529656369915633,-0.22417472822512666
1759926382.6691096,-3.2382947060523817,-18.9033729836441,1.8651268115499295,3.7145030443697644,1.288852846805656,-0.06435839173512821
1759926382.8920138,-3.2851344488691936,-17.87667315910048,1.6294114755928604,3.8426706624272278,0.5749896816534437,-0.01610623221381334
1759926383.1697385,-3.134830417197622,-16.983901818941487,1.4642108028441614,4.079806384533201,0.853851621713107,0.22276173071041544
1759926383.4031143,-3.029350531146029,-16.076943927284194,1.469180724451375,3.4596400422294624,-2.65737225066373,0.08175819310062722
1759926383.6269557,-3.045883745194973,-15.362777801350283,1.560961762374121,3.4629671811456375,0.014863820940810957,0.15845908524340538
1759926383.8583317,-3.1519403780395763,-14.296205196416661,1.657197419051883,3.4001903501514095,-0.27131962371122037,-0.06363345292053076
1759926384.0952992,-3.245213427720487,-13.64096304465067,1.687243568631665,2.9877941921146207,-1.7403063597437356,-0.10469005671093701
1759926384.370154,-3.2921208923296845,-12.691188585446687,1.6271352450937044,3.8090855063685014,2.9880931040126755,-0.29315976590476933
1759926384.5845559,-3.2565629647604726,-11.959809865479754,1.5475187177831655,4.332638841017578,2.441924195741597,-0.03623604394669615
1759926384.806761,-3.011048358033908,-11.001137884937275,1.3312417328983521,4.439359293862689,0.48027890919066574,0.05337488863946829
1759926385.0264616,-2.5761948818146148,-9.961695979290806,1.210259400967856,4.245742451678236,-0.8812759925399393,0.23407490311314963
1759926385.2452004,-2.2942603225298317,-9.071855049163453,1.266463759466963,4.461672549776661,0.9871595880511185,0.18815574825831963
1759926385.5013316,-2.1829694076680197,-7.958491821178507,1.4672484253525866,4.465614575317613,0.01539065123310679,0.3141594494137284
1759926385.7323806,-2.284190665912466,-6.809325572141929,1.6461301804534152,5.144669207879893,2.939006244594933,-0.02182832448088887
1759926385.9516733,-2.6373794547934595,-5.696023090188597,1.8621516893274954,4.842628018090105,-1.377343028224215,-0.22510955391396137
1759926386.1726923,-2.9951803633767877,-4.80239617783962,1.9258512277592086,4.715832651894436,-0.5736852904259545,-0.3141603553403349
1759926386.393695,-3.30618439866335,-3.6457951419576657,1.8068530352871246,5.332307994259508,2.78944562926404,-0.31416079455470336
1759926386.6078553,-3.259061093960098,-2.6382665984997584,1.5317449624571733,5.016278385381311,-1.4756691629599428,-0.31415952985766166
1759926386.8681154,-2.8212252427675337,-1.4914750125143528,1.2012386782931008,5.6897464679713625,2.5876731366328496,-0.4734399155954259
1759926387.0806484,-1.8840844904724952,-0.4017431301199179,0.8102918767830323,5.388143367171069,-1.41908835273188,-0.1974733711687166
1759926387.3074052,-0.8748542862414931,0.19103352128289935,0.5517968173693117,5.60552023410809,0.9586343441782017,-0.16468048664531304
1759926387.529091,0.33115530101446705,0.6793065702911797,0.3790821018714867,6.231182179252378,2.8222934181311685,-0.2838028651771488
1759926387.7590024,1.870372858635271,0.9659483237334173,0.1254196048863654,6.809475511556161,2.515285955016013,-0.049859198940990127
1759926388.0405285,3.4423093598036933,0.6945674363638044,-0.21547575980971123,6.446629518579124,-1.2888538843193182,0.16093408254387329
1759926388.2774713,5.157791611090954,0.2094478919839123,-0.2505050807454743,6.274201372032109,-0.727720655633102,0.09546775308777215
1759926388.496491,6.4492258617428595,-0.02301905463438191,-0.17444529102772277,5.644191467768357,-2.8764994382894975,0.254018739026685
1759926388.7255528,7.632327069116131,-0.10777799095237589,-0.06259157538035298,5.149046825026544,-2.1616199297745573,0.0785870369238406
1759926388.9639196,8.763287751142318,0.04813427050135078,0.12071962200289521,4.407214748711815,-3.112144580389119,0.22511350304339686
1759926389.2019963,9.729631959464283,0.261819547815691,0.20729478312398397,3.8474808381884555,-2.3510656079255337,-0.02937413006162026
1759926389.5057864,10.782860743413002,0.5753872796115865,0.2619201686045671,3.410544157980726,-1.4382848257415708,-0.31415827447373684
1759926389.7375333,11.47303360192511,0.6847107203387299,0.18274381596047595,3.028226675267708,-1.649719857793786,-0.07424346063704575
1759926389.9760175,12.105400863065165,0.717453803614425,0.10545849854870015,2.237842392412464,-3.3142005539645414,-0.1395846878634574
1759926390.2078116,12.524002206173359,0.7435137423856102,0.08490015646974536,2.2856822460238604,0.20638941937914396,-0.25282128979713664
1759926390.4347067,13.164450276556607,0.7256206652635712,0.009163430958702978,2.505027060416339,0.9667234782603907,0.007606749386074143
1759926390.7218785,13.867976508544599,0.6591917830446873,-0.05326332983792392,2.6669615247389555,0.5638939526455328,0.10465117183924452
1759926390.9621618,14.345721229529076,0.6430829932776964,-0.04281884623097154,2.791648589423022,0.5189170042623026,0.2665396390008831
1759926391.1745472,14.345721229529076,0.6430829932776964,-0.04281884623097154,2.791648589423022,0.0,0.2665396390008831
1759926391.3837757,14.345721229529076,0.6430829932776964,-0.04281884623097154,2.791648589423022,0.0,0.2665396390008831
1759926391.598543,14.345721229529076,0.6430829932776964,-0.04281884623097154,2.791648589423022,0.0,0.2665396390008831
1759926391.814691,14.345721229529076,0.6430829932776964,-0.04281884623097154,2.791648589423022,0.0,0.2665396390008831
1759926392.082623,14.345721229529076,0.6430829932776964,-0.04281884623097154,2.791648589423022,0.0,0.2665396390008831
1759926392.2922819,14.345721229529076,0.6430829932776964,-0.04281884623097154,2.791648589423022,0.0,0.2665396390008831
1759926392.5017521,14.345721229529076,0.6430829932776964,-0.04281884623097154,2.791648589423022,0.0,0.2665396390008831
